Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
searching,2018,"Drama, Mystery, Thriller",7.6,after his teenage daughter goes missing a desperate father tries to find clues on her laptop,71.0,aneeshchaganty,johncho,debramessing,josephlee,searching drama mystery thriller aneeshchaganty johncho debramessing josephlee after his teenage daughter goes missing a desperate father tries to find clues on her laptop
once upon a time... in hollywood,2019,"Comedy, Drama",7.6,a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywood's golden age in 1969 los angeles,83.0,quentintarantino,leonardodicaprio,bradpitt,margotrobbie,once upon a time in hollywood comedy drama quentintarantino leonardodicaprio bradpitt margotrobbie a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywood's golden age in 1969 los angeles
nelyubov,2017,Drama,7.6,a couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments,86.0,andreyzvyagintsev,maryanaspivak,alekseyrozin,matveynovikov,nelyubov drama andreyzvyagintsev maryanaspivak alekseyrozin matveynovikov a couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments
the florida project,2017,Drama,7.6,set over one summer the film follows precocious six-year-old moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother all while living in the shadows of walt disney world,92.0,seanbaker,brooklynnprince,briavinaite,willemdafoe,the florida project drama seanbaker brooklynnprince briavinaite willemdafoe set over one summer the film follows precocious six-year-old moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother all while living in the shadows of walt disney world
just mercy,2019,"Biography, Crime, Drama",7.6,world-renowned civil rights defense attorney bryan stevenson works to free a wrongly condemned death row prisoner,68.0,destindanielcretton,michaelbjordan,jamiefoxx,brielarson,just mercy biography crime drama destindanielcretton michaelbjordan jamiefoxx brielarson world-renowned civil rights defense attorney bryan stevenson works to free a wrongly condemned death row prisoner
gifted,2017,Drama,7.6,frank a single man raising his child prodigy niece mary is drawn into a custody battle with his mother,60.0,marcwebb,chrisevans,mckennagrace,lindsayduncan,gifted drama marcwebb chrisevans mckennagrace lindsayduncan frank a single man raising his child prodigy niece mary is drawn into a custody battle with his mother
the peanut butter falcon,2019,"Adventure, Comedy, Drama",7.6,zak runs away from his care home to make his dream of becoming a wrestler come true,70.0,tylernilson,michaelschwartz,zackgottsagen,annowens,the peanut butter falcon adventure comedy drama tylernilson michaelschwartz zackgottsagen annowens zak runs away from his care home to make his dream of becoming a wrestler come true
victoria,2015,"Crime, Drama, Romance",7.6,a young spanish woman who has recently moved to berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret,77.0,sebastianschipper,laiacosta,fredericklau,franzrogowski,victoria crime drama romance sebastianschipper laiacosta fredericklau franzrogowski a young spanish woman who has recently moved to berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret
mustang,2015,Drama,7.6,when five orphan girls are seen innocently playing with boys on a beach their scandalized conservative guardians confine them while forced marriages are arranged,83.0,denizgamzeergüven,günessensoy,dogazeynepdoguslu,tugbasunguroglu,mustang drama denizgamzeergüven günessensoy dogazeynepdoguslu tugbasunguroglu when five orphan girls are seen innocently playing with boys on a beach their scandalized conservative guardians confine them while forced marriages are arranged
guardians of the galaxy vol. 2,2017,"Action, Adventure, Comedy",7.6,the guardians struggle to keep together as a team while dealing with their personal family issues notably star-lord's encounter with his father the ambitious celestial being ego,67.0,jamesgunn,chrispratt,zoesaldana,davebautista,guardians of the galaxy vol 2 action adventure comedy jamesgunn chrispratt zoesaldana davebautista the guardians struggle to keep together as a team while dealing with their personal family issues notably star-lord's encounter with his father the ambitious celestial being ego
baby driver,2017,"Action, Crime, Drama",7.6,after being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail,86.0,edgarwright,anselelgort,jonbernthal,jonhamm,baby driver action crime drama edgarwright anselelgort jonbernthal jonhamm after being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail
only the brave,2017,"Action, Biography, Drama",7.6,based on the true story of the granite mountain hotshots a group of elite firefighters who risk everything to protect a town from a historic wildfire,72.0,josephkosinski,joshbrolin,milesteller,jeffbridges,only the brave action biography drama josephkosinski joshbrolin milesteller jeffbridges based on the true story of the granite mountain hotshots a group of elite firefighters who risk everything to protect a town from a historic wildfire
bridge of spies,2015,"Drama, History, Thriller",7.6,during the cold war an american lawyer is recruited to defend an arrested soviet spy in court and then help the cia facilitate an exchange of the spy for the soviet captured american u2 spy plane pilot francis gary powers,81.0,stevenspielberg,tomhanks,markrylance,alanalda,bridge of spies drama history thriller stevenspielberg tomhanks markrylance alanalda during the cold war an american lawyer is recruited to defend an arrested soviet spy in court and then help the cia facilitate an exchange of the spy for the soviet captured american u2 spy plane pilot francis gary powers
incredibles 2,2018,"Animation, Action, Adventure",7.6,the incredibles family takes on a new mission which involves a change in family roles: bob parr (mr incredible) must manage the house while his wife helen (elastigirl) goes out to save the world,80.0,bradbird,craigtnelson,hollyhunter,sarahvowell,incredibles 2 animation action adventure bradbird craigtnelson hollyhunter sarahvowell the incredibles family takes on a new mission which involves a change in family roles: bob parr (mr incredible) must manage the house while his wife helen (elastigirl) goes out to save the world
moana,2016,"Animation, Adventure, Comedy",7.6,in ancient polynesia when a terrible curse incurred by the demigod maui reaches moana's island she answers the ocean's call to seek out the demigod to set things right,81.0,ronclements,johnmusker,donhall,chriswilliams,moana animation adventure comedy ronclements johnmusker donhall chriswilliams in ancient polynesia when a terrible curse incurred by the demigod maui reaches moana's island she answers the ocean's call to seek out the demigod to set things right
