Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
viskningar och rop,1972,Drama,8.1,when a woman dying of cancer in early twentieth-century sweden is visited by her two sisters long-repressed feelings between the siblings rise to the surface,78.0,ingmarbergman,harrietandersson,livullmann,karisylwan,viskningar och rop drama ingmarbergman harrietandersson livullmann karisylwan when a woman dying of cancer in early twentieth-century sweden is visited by her two sisters long-repressed feelings between the siblings rise to the surface
solaris,1972,"Drama, Mystery, Sci-Fi",8.1,a psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane,90.0,andreitarkovsky,natalyabondarchuk,donatasbanionis,jürijärvet,solaris drama mystery sci-fi andreitarkovsky natalyabondarchuk donatasbanionis jürijärvet a psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane
le samouraï,1967,"Crime, Drama, Mystery",8.1,after professional hitman jef costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner,78.0,jean-pierremelville,alaindelon,françoispérier,nathaliedelon,le samouraï crime drama mystery jean-pierremelville alaindelon françoispérier nathaliedelon after professional hitman jef costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner
cool hand luke,1967,"Crime, Drama",8.1,a laid back southern man is sentenced to two years in a rural prison but refuses to conform,92.0,stuartrosenberg,paulnewman,georgekennedy,strothermartin,cool hand luke crime drama stuartrosenberg paulnewman georgekennedy strothermartin a laid back southern man is sentenced to two years in a rural prison but refuses to conform
persona,1966,"Drama, Thriller",8.1,a nurse is put in charge of a mute actress and finds that their personae are melding together,86.0,ingmarbergman,bibiandersson,livullmann,margarethakrook,persona drama thriller ingmarbergman bibiandersson livullmann margarethakrook a nurse is put in charge of a mute actress and finds that their personae are melding together
andrei rublev,1966,"Biography, Drama, History",8.1,the life times and afflictions of the fifteenth-century russian iconographer st andrei rublev,78.0,andreitarkovsky,anatoliysolonitsyn,ivanlapikov,nikolaygrinko,andrei rublev biography drama history andreitarkovsky anatoliysolonitsyn ivanlapikov nikolaygrinko the life times and afflictions of the fifteenth-century russian iconographer st andrei rublev
la battaglia di algeri,1966,"Drama, War",8.1,in the 1950s fear and violence escalate as the people of algiers fight for independence from the french government,96.0,gillopontecorvo,brahimhadjadj,jeanmartin,yacefsaadi,la battaglia di algeri drama war gillopontecorvo brahimhadjadj jeanmartin yacefsaadi in the 1950s fear and violence escalate as the people of algiers fight for independence from the french government
el ángel exterminador,1962,"Drama, Fantasy",8.1,the guests at an upper-class dinner party find themselves unable to leave,78.0,luisbuñuel,silviapinal,jacquelineandere,enriquerambal,el ángel exterminador drama fantasy luisbuñuel silviapinal jacquelineandere enriquerambal the guests at an upper-class dinner party find themselves unable to leave
what ever happened to baby jane?,1962,"Drama, Horror, Thriller",8.1,a former child star torments her paraplegic sister in their decaying hollywood mansion,75.0,robertaldrich,bettedavis,joancrawford,victorbuono,what ever happened to baby jane? drama horror thriller robertaldrich bettedavis joancrawford victorbuono a former child star torments her paraplegic sister in their decaying hollywood mansion
sanjuro,1962,"Action, Comedy, Crime",8.1,a crafty samurai helps a young man and his fellow clansmen save his uncle who has been framed and imprisoned by a corrupt superintendent,78.0,akirakurosawa,toshirômifune,tatsuyanakadai,keijukobayashi,sanjuro action comedy crime akirakurosawa toshirômifune tatsuyanakadai keijukobayashi a crafty samurai helps a young man and his fellow clansmen save his uncle who has been framed and imprisoned by a corrupt superintendent
the man who shot liberty valance,1962,"Drama, Western",8.1,a senator returns to a western town for the funeral of an old friend and tells the story of his origins,94.0,johnford,jamesstewart,johnwayne,veramiles,the man who shot liberty valance drama western johnford jamesstewart johnwayne veramiles a senator returns to a western town for the funeral of an old friend and tells the story of his origins
ivanovo detstvo,1962,"Drama, War",8.1,in ww2 twelve year old soviet orphan ivan bondarev works for the soviet army as a scout behind the german lines and strikes a friendship with three sympathetic soviet officers,78.0,andreitarkovsky,eduardabalov,nikolayburlyaev,valentinzubkov,ivanovo detstvo drama war andreitarkovsky eduardabalov nikolayburlyaev valentinzubkov in ww2 twelve year old soviet orphan ivan bondarev works for the soviet army as a scout behind the german lines and strikes a friendship with three sympathetic soviet officers
jungfrukällan,1960,Drama,8.1,an innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church but only one returns from events that transpire in the woods along the way,78.0,ingmarbergman,maxvonsydow,birgittavalberg,gunnellindblom,jungfrukällan drama ingmarbergman maxvonsydow birgittavalberg gunnellindblom an innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church but only one returns from events that transpire in the woods along the way
inherit the wind,1960,"Biography, Drama, History",8.1,based on a real-life case in 1925 two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution,75.0,stanleykramer,spencertracy,fredricmarch,genekelly,inherit the wind biography drama history stanleykramer spencertracy fredricmarch genekelly based on a real-life case in 1925 two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution
les quatre cents coups,1959,"Crime, Drama",8.1,a young boy left without attention delves into a life of petty crime,78.0,françoistruffaut,jean-pierreléaud,albertrémy,clairemaurier,les quatre cents coups crime drama françoistruffaut jean-pierreléaud albertrémy clairemaurier a young boy left without attention delves into a life of petty crime
ben-hur,1959,"Adventure, Drama, History",8.1,after a jewish prince is betrayed and sent into slavery by a roman friend he regains his freedom and comes back for revenge,90.0,williamwyler,charltonheston,jackhawkins,stephenboyd,ben-hur adventure drama history williamwyler charltonheston jackhawkins stephenboyd after a jewish prince is betrayed and sent into slavery by a roman friend he regains his freedom and comes back for revenge
kakushi-toride no san-akunin,1958,"Adventure, Drama",8.1,lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines,78.0,akirakurosawa,toshirômifune,misauehara,minoruchiaki,kakushi-toride no san-akunin adventure drama akirakurosawa toshirômifune misauehara minoruchiaki lured by gold two greedy peasants unknowingly escort a princess and her general across enemy lines
le notti di cabiria,1957,Drama,8.1,a waifish prostitute wanders the streets of rome looking for true love but finds only heartbreak,78.0,federicofellini,giuliettamasina,françoispérier,francamarzi,le notti di cabiria drama federicofellini giuliettamasina françoispérier francamarzi a waifish prostitute wanders the streets of rome looking for true love but finds only heartbreak
kumonosu-jô,1957,"Drama, History",8.1,a war-hardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of spider's web castle,78.0,akirakurosawa,toshirômifune,minoruchiaki,isuzuyamada,kumonosu-jô drama history akirakurosawa toshirômifune minoruchiaki isuzuyamada a war-hardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of spider's web castle
the bridge on the river kwai,1957,"Adventure, Drama, War",8.1,british pows are forced to build a railway bridge across the river kwai for their japanese captors not knowing that the allied forces are planning to destroy it,87.0,davidlean,williamholden,alecguinness,jackhawkins,the bridge on the river kwai adventure drama war davidlean williamholden alecguinness jackhawkins british pows are forced to build a railway bridge across the river kwai for their japanese captors not knowing that the allied forces are planning to destroy it
on the waterfront,1954,"Crime, Drama, Thriller",8.1,an ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses,91.0,eliakazan,marlonbrando,karlmalden,leejcobb,on the waterfront crime drama thriller eliakazan marlonbrando karlmalden leejcobb an ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses
le salaire de la peur,1953,"Adventure, Drama, Thriller",8.1,in a decrepit south american village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe,85.0,henri-georgesclouzot,yvesmontand,charlesvanel,petervaneyck,le salaire de la peur adventure drama thriller henri-georgesclouzot yvesmontand charlesvanel petervaneyck in a decrepit south american village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe
ace in the hole,1951,"Drama, Film-Noir",8.1,a frustrated former big-city journalist now stuck working for an albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an out-of-control circus,72.0,billywilder,kirkdouglas,jansterling,robertarthur,ace in the hole drama film-noir billywilder kirkdouglas jansterling robertarthur a frustrated former big-city journalist now stuck working for an albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career but the situation quickly escalates into an out-of-control circus
white heat,1949,"Action, Crime, Drama",8.1,a psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist,78.0,raoulwalsh,jamescagney,virginiamayo,edmondo'brien,white heat action crime drama raoulwalsh jamescagney virginiamayo edmondo'brien a psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist
the third man,1949,"Film-Noir, Mystery, Thriller",8.1,pulp novelist holly martins travels to shadowy postwar vienna only to find himself investigating the mysterious death of an old friend harry lime,97.0,carolreed,orsonwelles,josephcotten,alidavalli,the third man film-noir mystery thriller carolreed orsonwelles josephcotten alidavalli pulp novelist holly martins travels to shadowy postwar vienna only to find himself investigating the mysterious death of an old friend harry lime
the red shoes,1948,"Drama, Music, Romance",8.1,a young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina,78.0,michaelpowell,emericpressburger,antonwalbrook,mariusgoring,the red shoes drama music romance michaelpowell emericpressburger antonwalbrook mariusgoring a young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina
the shop around the corner,1940,"Comedy, Drama, Romance",8.1,two employees at a gift shop can barely stand each other without realizing that they are falling in love through the post as each other's anonymous pen pal,96.0,ernstlubitsch,margaretsullavan,jamesstewart,frankmorgan,the shop around the corner comedy drama romance ernstlubitsch margaretsullavan jamesstewart frankmorgan two employees at a gift shop can barely stand each other without realizing that they are falling in love through the post as each other's anonymous pen pal
rebecca,1940,"Drama, Mystery, Romance",8.1,a self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence,86.0,alfredhitchcock,laurenceolivier,joanfontaine,georgesanders,rebecca drama mystery romance alfredhitchcock laurenceolivier joanfontaine georgesanders a self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence
mr. smith goes to washington,1939,"Comedy, Drama",8.1,a naive man is appointed to fill a vacancy in the united states senate his plans promptly collide with political corruption but he doesn't back down,73.0,frankcapra,jamesstewart,jeanarthur,clauderains,mr smith goes to washington comedy drama frankcapra jamesstewart jeanarthur clauderains a naive man is appointed to fill a vacancy in the united states senate his plans promptly collide with political corruption but he doesn't back down
gone with the wind,1939,"Drama, History, Romance",8.1,a manipulative woman and a roguish man conduct a turbulent romance during the american civil war and reconstruction periods,97.0,victorfleming,georgecukor,samwood,clarkgable,gone with the wind drama history romance victorfleming georgecukor samwood clarkgable a manipulative woman and a roguish man conduct a turbulent romance during the american civil war and reconstruction periods
la grande illusion,1937,"Drama, War",8.1,during wwi two french soldiers are captured and imprisoned in a german pow camp several escape attempts follow until they are eventually sent to a seemingly inescapable fortress,78.0,jeanrenoir,jeangabin,ditaparlo,pierrefresnay,la grande illusion drama war jeanrenoir jeangabin ditaparlo pierrefresnay during wwi two french soldiers are captured and imprisoned in a german pow camp several escape attempts follow until they are eventually sent to a seemingly inescapable fortress
it happened one night,1934,"Comedy, Romance",8.1,a renegade reporter and a crazy young heiress meet on a bus heading for new york and end up stuck with each other when the bus leaves them behind at one of the stops,87.0,frankcapra,clarkgable,claudettecolbert,walterconnolly,it happened one night comedy romance frankcapra clarkgable claudettecolbert walterconnolly a renegade reporter and a crazy young heiress meet on a bus heading for new york and end up stuck with each other when the bus leaves them behind at one of the stops
la passion de jeanne d'arc,1928,"Biography, Drama, History",8.1,in 1431 jeanne d'arc is placed on trial on charges of heresy the ecclesiastical jurists attempt to force jeanne to recant her claims of holy visions,78.0,carltheodordreyer,mariafalconetti,eugenesilvain,andréberley,la passion de jeanne d'arc biography drama history carltheodordreyer mariafalconetti eugenesilvain andréberley in 1431 jeanne d'arc is placed on trial on charges of heresy the ecclesiastical jurists attempt to force jeanne to recant her claims of holy visions
the circus,1928,"Comedy, Romance",8.1,the tramp finds work and the girl of his dreams at a circus,90.0,charleschaplin,charleschaplin,mernakennedy,alernestgarcia,the circus comedy romance charleschaplin charleschaplin mernakennedy alernestgarcia the tramp finds work and the girl of his dreams at a circus
sunrise: a song of two humans,1927,"Drama, Romance",8.1,an allegorical tale about a man fighting the good and evil within him both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife,78.0,fwmurnau,georgeo'brien,janetgaynor,margaretlivingston,sunrise: a song of two humans drama romance fwmurnau georgeo'brien janetgaynor margaretlivingston an allegorical tale about a man fighting the good and evil within him both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife
the general,1926,"Action, Adventure, Comedy",8.1,when union spies steal an engineer's beloved locomotive he pursues it single-handedly and straight through enemy lines,78.0,clydebruckman,busterkeaton,busterkeaton,marionmack,the general action adventure comedy clydebruckman busterkeaton busterkeaton marionmack when union spies steal an engineer's beloved locomotive he pursues it single-handedly and straight through enemy lines
das cabinet des dr. caligari,1920,"Fantasy, Horror, Mystery",8.1,hypnotist dr caligari uses a somnambulist cesare to commit murders,78.0,robertwiene,wernerkrauss,conradveidt,friedrichfeher,das cabinet des dr caligari fantasy horror mystery robertwiene wernerkrauss conradveidt friedrichfeher hypnotist dr caligari uses a somnambulist cesare to commit murders
badhaai ho,2018,"Comedy, Drama",8.0,a man is embarrassed when he finds out his mother is pregnant,78.0,amitravindernathsharma,ayushmannkhurrana,neenagupta,gajrajrao,badhaai ho comedy drama amitravindernathsharma ayushmannkhurrana neenagupta gajrajrao a man is embarrassed when he finds out his mother is pregnant
togo,2019,"Adventure, Biography, Drama",8.0,the story of togo the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race,69.0,ericsoncore,willemdafoe,juliannenicholson,christopherheyerdahl,togo adventure biography drama ericsoncore willemdafoe juliannenicholson christopherheyerdahl the story of togo the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race
airlift,2016,"Drama, History",8.0,when iraq invades kuwait in august 1990 a callous indian businessman becomes the spokesperson for more than 170000 stranded countrymen,78.0,rajamenon,akshaykumar,nimratkaur,kumudmishra,airlift drama history rajamenon akshaykumar nimratkaur kumudmishra when iraq invades kuwait in august 1990 a callous indian businessman becomes the spokesperson for more than 170000 stranded countrymen
bajrangi bhaijaan,2015,"Action, Adventure, Comedy",8.0,an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family,78.0,kabirkhan,salmankhan,harshaalimalhotra,nawazuddinsiddiqui,bajrangi bhaijaan action adventure comedy kabirkhan salmankhan harshaalimalhotra nawazuddinsiddiqui an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family
baby,2015,"Action, Crime, Thriller",8.0,an elite counter-intelligence unit learns of a plot masterminded by a maniacal madman with the clock ticking it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of india,78.0,neerajpandey,akshaykumar,dannydenzongpa,ranadaggubati,baby action crime thriller neerajpandey akshaykumar dannydenzongpa ranadaggubati an elite counter-intelligence unit learns of a plot masterminded by a maniacal madman with the clock ticking it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of india
la la land,2016,"Comedy, Drama, Music",8.0,while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future,94.0,damienchazelle,ryangosling,emmastone,rosemariedewitt,la la land comedy drama music damienchazelle ryangosling emmastone rosemariedewitt while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future
lion,2016,"Biography, Drama",8.0,a five-year-old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home 25 years later he sets out to find his lost family,69.0,garthdavis,devpatel,nicolekidman,rooneymara,lion biography drama garthdavis devpatel nicolekidman rooneymara a five-year-old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home 25 years later he sets out to find his lost family
the martian,2015,"Adventure, Drama, Sci-Fi",8.0,an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive,80.0,ridleyscott,mattdamon,jessicachastain,kristenwiig,the martian adventure drama sci-fi ridleyscott mattdamon jessicachastain kristenwiig an astronaut becomes stranded on mars after his team assume him dead and must rely on his ingenuity to find a way to signal to earth that he is alive
zootopia,2016,"Animation, Adventure, Comedy",8.0,in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy,78.0,byronhoward,richmoore,jaredbush,ginnifergoodwin,zootopia animation adventure comedy byronhoward richmoore jaredbush ginnifergoodwin in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy
bãhubali: the beginning,2015,"Action, Drama",8.0,in ancient india an adventurous and daring man becomes involved in a decades-old feud between two warring peoples,78.0,ssrajamouli,prabhas,ranadaggubati,ramyakrishnan,bãhubali: the beginning action drama ssrajamouli prabhas ranadaggubati ramyakrishnan in ancient india an adventurous and daring man becomes involved in a decades-old feud between two warring peoples
kaguyahime no monogatari,2013,"Animation, Adventure, Drama",8.0,found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady the mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime,89.0,isaotakahata,chloëgracemoretz,jamescaan,marysteenburgen,kaguyahime no monogatari animation adventure drama isaotakahata chloëgracemoretz jamescaan marysteenburgen found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady the mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime
wonder,2017,"Drama, Family",8.0,based on the new york times bestseller this movie tells the incredibly inspiring and heartwarming story of august pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time,66.0,stephenchbosky,jacobtremblay,owenwilson,izabelavidovic,wonder drama family stephenchbosky jacobtremblay owenwilson izabelavidovic based on the new york times bestseller this movie tells the incredibly inspiring and heartwarming story of august pullman a boy with facial differences who enters the fifth grade attending a mainstream elementary school for the first time
gully boy,2019,"Drama, Music, Romance",8.0,a coming-of-age story based on the lives of street rappers in mumbai,65.0,zoyaakhtar,vijayvarma,nakulroshansahdev,ranveersingh,gully boy drama music romance zoyaakhtar vijayvarma nakulroshansahdev ranveersingh a coming-of-age story based on the lives of street rappers in mumbai
special chabbis,2013,"Crime, Drama, Thriller",8.0,a gang of con-men rob prominent rich businessmen and politicians by posing as cbi and income tax officers,78.0,neerajpandey,akshaykumar,anupamkher,manojbajpayee,special chabbis crime drama thriller neerajpandey akshaykumar anupamkher manojbajpayee a gang of con-men rob prominent rich businessmen and politicians by posing as cbi and income tax officers
short term 12,2013,Drama,8.0,a 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend,82.0,destindanielcretton,brielarson,frantzturner,johngallagherjr,short term 12 drama destindanielcretton brielarson frantzturner johngallagherjr a 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend
serbuan maut 2: berandal,2014,"Action, Crime, Thriller",8.0,only a short time after the first raid rama goes undercover with the thugs of jakarta and plans to bring down the syndicate and uncover the corruption within his police force,71.0,garethevans,ikouwais,yayanruhian,arifinputra,serbuan maut 2: berandal action crime thriller garethevans ikouwais yayanruhian arifinputra only a short time after the first raid rama goes undercover with the thugs of jakarta and plans to bring down the syndicate and uncover the corruption within his police force
the imitation game,2014,"Biography, Drama, Thriller",8.0,during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians,73.0,mortentyldum,benedictcumberbatch,keiraknightley,matthewgoode,the imitation game biography drama thriller mortentyldum benedictcumberbatch keiraknightley matthewgoode during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians
guardians of the galaxy,2014,"Action, Adventure, Comedy",8.0,a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe,76.0,jamesgunn,chrispratt,vindiesel,bradleycooper,guardians of the galaxy action adventure comedy jamesgunn chrispratt vindiesel bradleycooper a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe
blade runner 2049,2017,"Action, Drama, Mystery",8.0,young blade runner k's discovery of a long-buried secret leads him to track down former blade runner rick deckard who's been missing for thirty years,81.0,denisvilleneuve,harrisonford,ryangosling,anadearmas,blade runner 2049 action drama mystery denisvilleneuve harrisonford ryangosling anadearmas young blade runner k's discovery of a long-buried secret leads him to track down former blade runner rick deckard who's been missing for thirty years
her,2013,"Drama, Romance, Sci-Fi",8.0,in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need,90.0,spikejonze,joaquinphoenix,amyadams,scarlettjohansson,her drama romance sci-fi spikejonze joaquinphoenix amyadams scarlettjohansson in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need
bohemian rhapsody,2018,"Biography, Drama, Music",8.0,the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid (1985),49.0,bryansinger,ramimalek,lucyboynton,gwilymlee,bohemian rhapsody biography drama music bryansinger ramimalek lucyboynton gwilymlee the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid (1985)
the revenant,2015,"Action, Adventure, Drama",8.0,a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team,76.0,alejandrogiñárritu,leonardodicaprio,tomhardy,willpoulter,the revenant action adventure drama alejandrogiñárritu leonardodicaprio tomhardy willpoulter a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team
the perks of being a wallflower,2012,"Drama, Romance",8.0,an introvert freshman is taken under the wings of two seniors who welcome him to the real world,67.0,stephenchbosky,loganlerman,emmawatson,ezramiller,the perks of being a wallflower drama romance stephenchbosky loganlerman emmawatson ezramiller an introvert freshman is taken under the wings of two seniors who welcome him to the real world
tropa de elite 2: o inimigo agora é outro,2010,"Action, Crime, Drama",8.0,after a prison riot former-captain nascimento now a high ranking security officer in rio de janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups,71.0,josépadilha,wagnermoura,irandhirsantos,andréramiro,tropa de elite 2: o inimigo agora é outro action crime drama josépadilha wagnermoura irandhirsantos andréramiro after a prison riot former-captain nascimento now a high ranking security officer in rio de janeiro is swept into a bloody political dispute that involves government officials and paramilitary groups
the king's speech,2010,"Biography, Drama, History",8.0,the story of king george vi his impromptu ascension to the throne of the british empire in 1936 and the speech therapist who helped the unsure monarch overcome his stammer,88.0,tomhooper,colinfirth,geoffreyrush,helenabonhamcarter,the king's speech biography drama history tomhooper colinfirth geoffreyrush helenabonhamcarter the story of king george vi his impromptu ascension to the throne of the british empire in 1936 and the speech therapist who helped the unsure monarch overcome his stammer
the help,2011,Drama,8.0,an aspiring author during the civil rights movement of the 1960s decides to write a book detailing the african american maids' point of view on the white families for which they work and the hardships they go through on a daily basis,62.0,tatetaylor,emmastone,violadavis,octaviaspencer,the help drama tatetaylor emmastone violadavis octaviaspencer an aspiring author during the civil rights movement of the 1960s decides to write a book detailing the african american maids' point of view on the white families for which they work and the hardships they go through on a daily basis
deadpool,2016,"Action, Adventure, Comedy",8.0,a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks,65.0,timmiller,ryanreynolds,morenabaccarin,tjmiller,deadpool action adventure comedy timmiller ryanreynolds morenabaccarin tjmiller a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks
darbareye elly,2009,"Drama, Mystery",8.0,the mysterious disappearance of a kindergarten teacher during a picnic in the north of iran is followed by a series of misadventures for her fellow travelers,87.0,asgharfarhadi,golshiftehfarahani,shahabhosseini,taranehalidoosti,darbareye elly drama mystery asgharfarhadi golshiftehfarahani shahabhosseini taranehalidoosti the mysterious disappearance of a kindergarten teacher during a picnic in the north of iran is followed by a series of misadventures for her fellow travelers
dev.d,2009,"Drama, Romance",8.0,after breaking up with his childhood sweetheart a young man finds solace in drugs meanwhile a teenage girl is caught in the world of prostitution will they be destroyed or will they find redemption?,78.0,anuragkashyap,abhaydeol,mahiegill,kalkikoechlin,devd drama romance anuragkashyap abhaydeol mahiegill kalkikoechlin after breaking up with his childhood sweetheart a young man finds solace in drugs meanwhile a teenage girl is caught in the world of prostitution will they be destroyed or will they find redemption?
yip man,2008,"Action, Biography, Drama",8.0,during the japanese invasion of china a wealthy martial artist is forced to leave his home when his city is occupied with little means of providing for themselves ip man and the remaining members of the city must find a way to survive,59.0,wilsonyip,donnieyen,simonyam,siu-wongfan,yip man action biography drama wilsonyip donnieyen simonyam siu-wongfan during the japanese invasion of china a wealthy martial artist is forced to leave his home when his city is occupied with little means of providing for themselves ip man and the remaining members of the city must find a way to survive
my name is khan,2010,Drama,8.0,an indian muslim man with asperger's syndrome takes a challenge to speak to the president of the united states seriously and embarks on a cross-country journey,50.0,karanjohar,shahrukhkhan,kajol,sheetalmenon,my name is khan drama karanjohar shahrukhkhan kajol sheetalmenon an indian muslim man with asperger's syndrome takes a challenge to speak to the president of the united states seriously and embarks on a cross-country journey
nefes: vatan sagolsun,2009,"Action, Drama, Thriller",8.0,story of 40-man turkish task force who must defend a relay station,78.0,leventsemerci,erdemcan,metehorozoglu,ilkerkizmaz,nefes: vatan sagolsun action drama thriller leventsemerci erdemcan metehorozoglu ilkerkizmaz story of 40-man turkish task force who must defend a relay station
slumdog millionaire,2008,"Drama, Romance",8.0,"a mumbai teenager reflects on his life after being accused of cheating on the indian version of ""who wants to be a millionaire?""",84.0,dannyboyle,loveleentandan,devpatel,freidapinto,"slumdog millionaire drama romance dannyboyle loveleentandan devpatel freidapinto a mumbai teenager reflects on his life after being accused of cheating on the indian version of ""who wants to be a millionaire?"""
black swan,2010,"Drama, Thriller",8.0,"a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovsky's ""swan lake""",79.0,darrenaronofsky,natalieportman,milakunis,vincentcassel,"black swan drama thriller darrenaronofsky natalieportman milakunis vincentcassel a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovsky's ""swan lake"""
tropa de elite,2007,"Action, Crime, Drama",8.0,in 1997 rio de janeiro captain nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the pope visits,33.0,josépadilha,wagnermoura,andréramiro,caiojunqueira,tropa de elite action crime drama josépadilha wagnermoura andréramiro caiojunqueira in 1997 rio de janeiro captain nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the pope visits
the avengers,2012,"Action, Adventure, Sci-Fi",8.0,earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity,69.0,josswhedon,robertdowneyjr,chrisevans,scarlettjohansson,the avengers action adventure sci-fi josswhedon robertdowneyjr chrisevans scarlettjohansson earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity
persepolis,2007,"Animation, Biography, Drama",8.0,a precocious and outspoken iranian girl grows up during the islamic revolution,90.0,vincentparonnaud,marjanesatrapi,chiaramastroianni,catherinedeneuve,persepolis animation biography drama vincentparonnaud marjanesatrapi chiaramastroianni catherinedeneuve a precocious and outspoken iranian girl grows up during the islamic revolution
dallas buyers club,2013,"Biography, Drama",8.0,in 1985 dallas electrician and hustler ron woodroof works around the system to help aids patients get the medication they need after he is diagnosed with the disease,80.0,jean-marcvallée,matthewmcconaughey,jennifergarner,jaredleto,dallas buyers club biography drama jean-marcvallée matthewmcconaughey jennifergarner jaredleto in 1985 dallas electrician and hustler ron woodroof works around the system to help aids patients get the medication they need after he is diagnosed with the disease
the pursuit of happyness,2006,"Biography, Drama",8.0,a struggling salesman takes custody of his son as he's poised to begin a life-changing professional career,64.0,gabrielemuccino,willsmith,thandienewton,jadensmith,the pursuit of happyness biography drama gabrielemuccino willsmith thandienewton jadensmith a struggling salesman takes custody of his son as he's poised to begin a life-changing professional career
